feature,description
bedrooms,Number of bedrooms in the comparable listing.
baths,Number of bathrooms in the comparable listing.
accommodates,Maximum guest capacity of the comparable listing.
beds,Number of beds in the comparable listing.
similarity_score,Similarity score between the comparable listing and the target listing.
pool_score,Ranking score within the comparable pool.
effective_rank_score,Effective rank score after similarity and pool ranking.
price_reliability_score,Estimated reliability of the competitor price data.
rating,Guest rating of the comparable listing.
reviews,Number of reviews for the comparable listing.
tenure_runs,Number of times this comparable has been evaluated in the pool.
is_weekend,"Binary flag (1 for Fri/Sat, 0 otherwise) to capture weekend pricing premiums."
is_holiday,"Binary flag (1 for holidays, 0 otherwise) to capture holiday/festival pricing premiums."
days_until_stay,Number of days between when the price was observed and the stay date.
days_since_first_seen,Age of this comparable entry in the database when the price was observed.
holiday_streak_length,Length of the contiguous holiday run that includes this stay date.
is_long_weekend,Binary flag indicating a stay date that falls in a long-weekend window.
distance_to_target_km,Distance between this comparable and its target listing in kilometers.
lat,Feature generated from input data; either a numeric field or a one-hot encoded category.
lng,Feature generated from input data; either a numeric field or a one-hot encoded category.
has_wifi,Feature generated from input data; either a numeric field or a one-hot encoded category.
has_kitchen,Feature generated from input data; either a numeric field or a one-hot encoded category.
has_washer,Feature generated from input data; either a numeric field or a one-hot encoded category.
has_dryer,Feature generated from input data; either a numeric field or a one-hot encoded category.
has_ac,Feature generated from input data; either a numeric field or a one-hot encoded category.
has_heating,Feature generated from input data; either a numeric field or a one-hot encoded category.
has_pool,Feature generated from input data; either a numeric field or a one-hot encoded category.
has_hot_tub,Feature generated from input data; either a numeric field or a one-hot encoded category.
has_free_parking,Feature generated from input data; either a numeric field or a one-hot encoded category.
has_ev_charger,Feature generated from input data; either a numeric field or a one-hot encoded category.
has_gym,Feature generated from input data; either a numeric field or a one-hot encoded category.
has_bbq,Feature generated from input data; either a numeric field or a one-hot encoded category.
property_type_entire_home,One-hot encoded property_type category 'entire_home'.
property_type_private_room,One-hot encoded property_type category 'private_room'.
location_country_code_unknown,One-hot encoded location_country_code category 'unknown'.
location_state_unknown,One-hot encoded location_state category 'unknown'.
location_city_Alki,One-hot encoded location_city category 'Alki'.
location_city_Beacon Hill,One-hot encoded location_city category 'Beacon Hill'.
location_city_Belltown,One-hot encoded location_city category 'Belltown'.
location_city_Belmont Shore,One-hot encoded location_city category 'Belmont Shore'.
